#Lambda	Media del coef transmisión	error lambda	Desviación del coef de transmisión
0.1	0.84302	0	0.0116713
0.2	0.81443	0	0.0117032
0.4	0.71313	0	0.0133541
0.5	0.64416	0	0.0150544
0.6	0.56477	0	0.0144096
0.7	0.4813	0	0.0137197
0.8	0.39689	0	0.0144013
0.9	0.31333	0	0.0133985
1.1	0.1693	0	0.0119386
2.5	0.00018	0	0.00040939
5	2e-05	0	0.00014
